Date : 2026-08-31 22:36:53
Directory : /Users/arjunaravapalli/personalassistant/personalassistant
Total : 1050 files,  1315361 codes, 15754 comments, 35729 blanks, all 1366844 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| WebAssembly Text Format |          3 |    631,882 |          0 |     17,031 |    648,913 |
| JavaScript              |         16 |    304,826 |     15,200 |      3,614 |    323,640 |
| TypeScript              |        570 |    150,386 |        420 |      7,787 |    158,593 |
| CSV                     |         26 |    102,070 |          0 |         23 |    102,093 |
| TSV                     |          1 |     50,001 |          0 |          1 |     50,002 |
| TypeScript JSX          |         53 |     20,794 |         18 |        698 |     21,510 |
| JSON                    |         39 |     20,691 |          0 |         39 |     20,730 |
| Markdown                |        195 |      9,791 |          0 |      2,428 |     12,219 |
| PostCSS                 |          2 |      8,111 |         23 |      1,205 |      9,339 |
| YAML                    |         15 |      7,850 |         26 |      1,720 |      9,596 |
| MS SQL                  |         79 |      7,077 |          7 |      1,005 |      8,089 |
| Swift                   |          4 |        945 |         27 |         78 |      1,050 |
| XML                     |         32 |        490 |          0 |         51 |        541 |
| JSON with Comments      |          6 |        294 |          0 |          6 |        300 |
| Docker                  |          2 |         44 |          1 |         15 |         60 |
| Batch                   |          1 |         41 |         32 |         22 |         95 |
| HTML                    |          2 |         30 |          0 |          2 |         32 |
| Ignore                  |          2 |         23 |          0 |          2 |         25 |
| Properties              |          2 |         15 |          0 |          2 |         17 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                            |      1,050 |  1,315,361 |     15,754 |     35,729 |  1,366,844 |
| . (Files)                                                                                                                                                                                    |         12 |      7,892 |          4 |      1,690 |      9,586 |
| .github                                                                                                                                                                                      |          2 |        164 |          0 |          8 |        172 |
| .github/workflows                                                                                                                                                                            |          2 |        164 |          0 |          8 |        172 |
| apps                                                                                                                                                                                         |        677 |  1,090,913 |     13,526 |     28,519 |  1,132,958 |
| apps/android                                                                                                                                                                                 |         22 |        388 |         32 |         66 |        486 |
| apps/android (Files)                                                                                                                                                                         |          3 |         67 |         32 |         29 |        128 |
| apps/android/app                                                                                                                                                                             |         18 |        314 |          0 |         36 |        350 |
| apps/android/app/src                                                                                                                                                                         |         18 |        314 |          0 |         36 |        350 |
| apps/android/app/src/main                                                                                                                                                                    |         18 |        314 |          0 |         36 |        350 |
| apps/android/app/src/main (Files)                                                                                                                                                            |          1 |         49 |          0 |          3 |         52 |
| apps/android/app/src/main/res                                                                                                                                                                |         17 |        265 |          0 |         33 |        298 |
| apps/android/app/src/main/res/drawable                                                                                                                                                       |          7 |         61 |          0 |          7 |         68 |
| apps/android/app/src/main/res/layout                                                                                                                                                         |          2 |        133 |          0 |         18 |        151 |
| apps/android/app/src/main/res/mipmap-anydpi                                                                                                                                                  |          2 |         40 |          0 |          2 |         42 |
| apps/android/app/src/main/res/mipmap-anydpi-v26                                                                                                                                              |          2 |         10 |          0 |          2 |         12 |
| apps/android/app/src/main/res/values                                                                                                                                                         |          3 |         10 |          0 |          3 |         13 |
| apps/android/app/src/main/res/xml                                                                                                                                                            |          1 |         11 |          0 |          1 |         12 |
| apps/android/gradle                                                                                                                                                                          |          1 |          7 |          0 |          1 |          8 |
